PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S
2,1,1,"Cumings, Mrs. John Bradley",female,38,1,0,PC 17599,71.2833,C85,C
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S
4,1,1,"Futrelle, Mrs. Jacques Heath",female,35,1,0,113803,53.1,C123,S
5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S
9,1,3,"Johnson, Mrs. Oscar W",female,27,0,2,347742,11.1333,,S
10,1,2,"Nasser, Mrs. Nicholas",female,14,1,0,237736,30.0708,,C
11,0,3,"Cumings, Mrs. John Bradley",33,1,0,0,69.29,71.2833,C85,C
12,0,3,"Johnson, Mrs. Oscar W",8,0,1,2,27.10,11.1333,,S
13,0,3,"Nasser, Mrs. Nicholas",58,1,3,0,60.98,30.0708,,C
14,0,3,"Braund, Mr. Owen Harris",40,1,1,0,95.94,7.25,,S
15,0,1,"Moran, Mr. James",50,2,2,0,81.68,8.4583,,Q
16,0,2,"Palsson, Master. Gosta Leonard",,2,2,1,59.85,21.075,,S
17,0,3,"Cumings, Mrs. John Bradley",42,0,1,0,87.32,71.2833,C85,C
18,1,2,"McCarthy, Mr. Timothy J",51,1,2,0,38.75,51.8625,E46,S
19,0,3,"Allen, Mr. William Henry",36,1,3,0,41.05,8.05,,S
20,0,3,"Johnson, Mrs. Oscar W",12,1,0,2,81.48,11.1333,,S
21,1,1,"McCarthy, Mr. Timothy J",45,1,3,0,42.59,51.8625,E46,S
22,0,2,"Palsson, Master. Gosta Leonard",,4,2,1,75.97,21.075,,S
23,1,2,"McCarthy, Mr. Timothy J",22,4,3,0,13.64,51.8625,E46,S
24,0,1,"Braund, Mr. Owen Harris",59,4,0,0,41.55,7.25,,S
25,1,3,"Nasser, Mrs. Nicholas",6,0,2,0,78.02,30.0708,,C
26,0,2,"Moran, Mr. James",63,0,2,0,97.33,8.4583,,Q
27,0,3,"Heikkinen, Miss. Laina",69,4,1,0,19.52,7.925,,S
28,0,3,"Heikkinen, Miss. Laina",7,0,2,0,88.48,7.925,,S
29,0,1,"Allen, Mr. William Henry",15,0,3,0,82.52,8.05,,S
